ProcessName,RegionName,Time,Level,CO2c,CO2f,ELC,BIOPEL,NGS,WSTORG,WSTINO,HYG
Unit,-,Year,-,kt/PJ,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ
HYG_WSTORG_GAS_001,R1,2045,fixed,0,0,0,0,0,1.518236725,0,0
HYG_WSTORG_GAS_001,R1,2050,fixed,0,0,0,0,0,1.518236725,0,0
HYG_WSTORG_GAS_C_001,R1,2020,fixed,0,0,0,0,0,1.782954495,0,0
HYG_WSTORG_GAS_C_001,R1,2025,fixed,0,0,0,0,0,1.767156605,0,0
HYG_WSTORG_GAS_C_001,R1,2030,fixed,0,0,0,0,0,1.748272593,0,0
HYG_WSTORG_GAS_C_001,R1,2035,fixed,0,0,0,0,0,1.717053439,0,0
HYG_WSTORG_GAS_C_001,R1,2040,fixed,0,0,0,0,0,1.717053439,0,0
HYG_WSTORG_GAS_C_001,R1,2045,fixed,0,0,0,0,0,1.686929695,0,0
HYG_WSTORG_GAS_C_001,R1,2050,fixed,0,0,0,0,0,1.686929695,0,0
HYG_WSTINO_GAS_001,R1,2020,fixed,0,0,0,0,0,0,1.604659046,0
HYG_WSTINO_GAS_001,R1,2025,fixed,0,0,0,0,0,0,1.590440945,0
HYG_WSTINO_GAS_001,R1,2030,fixed,0,0,0,0,0,0,1.573445333,0
HYG_WSTINO_GAS_001,R1,2035,fixed,0,0,0,0,0,0,1.545348095,0
HYG_WSTINO_GAS_001,R1,2040,fixed,0,0,0,0,0,0,1.545348095,0
HYG_WSTINO_GAS_001,R1,2045,fixed,0,0,0,0,0,0,1.518236725,0
HYG_WSTINO_GAS_001,R1,2050,fixed,0,0,0,0,0,0,1.518236725,0
HYG_WSTINO_GAS_C_001,R1,2020,fixed,0,0,0,0,0,0,1.782954495,0
HYG_WSTINO_GAS_C_001,R1,2025,fixed,0,0,0,0,0,0,1.767156605,0
HYG_WSTINO_GAS_C_001,R1,2030,fixed,0,0,0,0,0,0,1.748272593,0
HYG_WSTINO_GAS_C_001,R1,2035,fixed,0,0,0,0,0,0,1.717053439,0
HYG_WSTINO_GAS_C_001,R1,2040,fixed,0,0,0,0,0,0,1.717053439,0
HYG_WSTINO_GAS_C_001,R1,2045,fixed,0,0,0,0,0,0,1.686929695,0
HYG_WSTINO_GAS_C_001,R1,2050,fixed,0,0,0,0,0,0,1.686929695,0
